Cp,MaxDepth,MinSplit,Acc,Sen,Spe,MCC,F1,AUC
0,5,4,0.884615385,0.859375,0.925,0.768335347,0.901639344,0.8921875
0,5,5,0.875,0.84375,0.925,0.751482298,0.892561983,0.884375
0,5,6,0.875,0.84375,0.925,0.751482298,0.892561983,0.884375
0,5,7,0.875,0.84375,0.925,0.751482298,0.892561983,0.884375
0,5,8,0.875,0.84375,0.925,0.751482298,0.892561983,0.884375
0,5,9,0.875,0.84375,0.925,0.751482298,0.892561983,0.884375
0,5,10,0.875,0.84375,0.925,0.751482298,0.892561983,0.884375
0,5,11,0.875,0.875,0.875,0.740938396,0.896,0.875
0,5,12,0.875,0.875,0.875,0.740938396,0.896,0.875
0,5,13,0.875,0.875,0.875,0.740938396,0.896,0.875
0,5,14,0.875,0.875,0.875,0.740938396,0.896,0.875
0,5,15,0.875,0.875,0.875,0.740938396,0.896,0.875
0,5,16,0.875,0.875,0.875,0.740938396,0.896,0.875
0,5,17,0.875,0.875,0.875,0.740938396,0.896,0.875
0,5,18,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,5,19,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,5,20,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,5,21,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,5,22,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,5,23,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,5,24,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,5,25,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,5,26,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,5,27,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,5,28,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,5,29,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,5,30,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,5,31,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,5,32,0.875,0.921875,0.8,0.733573646,0.900763359,0.8609375
0,6,1,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
0,6,2,0.903846154,0.875,0.95,0.808129608,0.918032787,0.9125
